ID,ORG_NM,CNT_STATE,LATEST_STAGE_NM,PRE_PROCESSING_HEALTH,DART_GEN_HEALTH,DART_REVIEW_HEALTH,SPS_LOAD_HEALTH
155624731,"Hospitalist Medicicne Physicians of Georgia TCG, PC",GA,STOPPED,Yellow,Green,Yellow,Green
155624730,SELECT PHYSICAL THERAPY HOLDINGS INC,CO,STOPPED,Green,Green,Red,Green
155624734,SELECT PHYSICAL THERAPY HOLDINGS INC,CO,STOPPED,Green,Green,Red,Green
155624736,Choa Multispecialty,GA,STOPPED,Green,Green,Red,Green
155622825,SELECT PHYSICAL THERAPY HOLDINGS INC,CO,STOPPED,Green,Green,Red,Green
155622827,HERITAGE PROVIDER NETWORK INC,CA,STOPPED,Red,Green,Red,Green
155621947,Promed Pomona Valley PVMG,CA,STOPPED,Green,Green,Red,Green
155621950,Acadiana Area Human Services District,LA,STOPPED,Yellow,Green,Red,Green
155607416,"Cloud Health Medical Group, P.A.",OH,STOPPED,Yellow,Green,Red,Green
155589278,altamed health services,CA,STOPPED,Red,Yellow,Red,Green
155581871,"Cloud Health Medical Group, P.A.",NY,STOPPED,Red,Green,Red,Green
155580340,"ANGELES IPA, A MEDICAL CORPORATION",CA,STOPPED,Green,Green,Red,Green
155573365,Dartmouth Hitchcock,NH,STOPPED,Red,Green,Red,Green
155573364,"Cloud Health Medical Group, P.A.",KY,STOPPED,Yellow,Green,Red,Green
155465709,Parkview Health System,IN,STOPPED,Green,Green,Green,Green
155449511,The Behavior Project,KS,STOPPED,Green,Red,Red,Green
155416728,GLOBAL CARE MEDICAL GROUP IPA,CA,STOPPED,Yellow,Green,Red,Green
155406769,Eric L Ellis,CA,STOPPED,Green,Green,Red,Green
155401271,North East Medical Services 1870 Lundy (Fqhc),CA,STOPPED,Green,Green,Red,Green
155401272,HERITAGE PROVIDER NETWORK INC,CA,STOPPED,Green,Green,Red,Green
155396803,Fmr Interventional Quality Pain Management,CA,STOPPED,Green,Green,Red,Green
155392877,St Vincent Hospital,WI,STOPPED,Red,Red,Red,Green
155392876,"Bierman Behavioral Health Services, LLC",OH,STOPPED,Yellow,Green,Red,Green
155374992,7_NSLIJ_Northwell UrgentCare_ 2025112510181125,NY,STOPPED,Yellow,Green,Red,Green
155373469,Ipany,NY,STOPPED,Red,Green,Red,Green
155373473,7_NSLIJ_Northwell UrgentCare_ 20251030010181031,NY,STOPPED,Yellow,Green,Red,Green
155369607,PIONEER HUMAN SERVICES,WA,STOPPED,Green,Green,Red,Green
155369615,PIONEER HUMAN SERVICES,WA,STOPPED,Green,Green,Red,Green
155369613,PIONEER HUMAN SERVICES,WA,STOPPED,Green,Green,Red,Green
155369614,Ipany,NY,STOPPED,Red,Green,Red,Green
155365085,Adventist Health Physicians Network,CA,STOPPED,Green,Green,Red,Green
155365091,"Maine Center for Cancer Medicine & Blood Disorders, PA",ME,STOPPED,Red,Green,Red,Green
155359483,"Sun River Health, Inc.",NY,STOPPED,Red,Green,Red,Green
155359480,Total Care Aba In,IN,STOPPED,Yellow,Green,Green,Green
155359479,Choc Children's Specialists,CA,STOPPED,Red,Red,Red,Green
155357865,Acclaim Physician Group Inc,TX,STOPPED,Red,Green,Red,Green
155352068,Fisher Titus Medical Care,OH,STOPPED,Green,Green,Green,Green
155352055,Southwestern Health Resources Accountable Care Network,TX,STOPPED,Yellow,Green,Red,Green
155354909,PROSPECT MEDICAL GROUP,CA,STOPPED,Yellow,Green,Red,Green
155354908,Promed Pomona Valley PVMG,CA,STOPPED,Yellow,Green,Red,Green
155347818,Cleanslate Medical Group of Kentucky PLLC,KY,STOPPED,Green,Green,Red,Green
155347815,Sante Physicians IPA Medical Corp.,CA,STOPPED,Green,Green,Red,Green
155347116,Sante Physicians IPA Medical Corp.,CA,STOPPED,Red,Green,Red,Green
155347128,HERITAGE PROVIDER NETWORK INC,CA,STOPPED,Yellow,Green,Red,Green
155347124,Orange Surgical Associates,CA,STOPPED,Green,Green,Red,Green
155347107,Memorial Hospital Lafayette County,WI,STOPPED,Green,Green,Red,Green
155345764,Acadiana Area Human Services District,LA,STOPPED,Red,Green,Red,Green
155345761,HERITAGE PROVIDER NETWORK INC,CA,STOPPED,Yellow,Green,Red,Green
155344435,Arnett Clinic LLC,IN,STOPPED,Yellow,Green,Green,Green
155344434,Iu Anesthesiology Associates Pediatrics,IN,STOPPED,Green,Green,Green,Green
155342896,Trinity Health of New England Medical Group Inc.,CT,STOPPED,Yellow,Green,Red,Green
155342895,INSIGHT HEALTH CORP.,VA,STOPPED,Red,Green,Green,Green
155342890,Optum Health Plan of California,CA,STOPPED,Yellow,Green,Red,Green
155341600,Rehabilitation Network of Arkansas Inc,AR,STOPPED,Red,Green,Red,Green
155341596,LaSalle Medical Associates,CA,STOPPED,Yellow,Green,Red,Green
155340331,HERITAGE PROVIDER NETWORK INC,CA,STOPPED,Yellow,Green,Red,Green
155340322,The Behavior Project,KS,STOPPED,Green,Green,Red,Green
155340318,Rehabilitation Network of Arkansas Inc,AR,STOPPED,Red,Green,Red,Green
155338599,Olugbenga Osunsanmi,KS,STOPPED,Yellow,Green,Red,Green
155337384,Columbia Doctors Newyork,NY,STOPPED,Yellow,Green,Red,Green
155336198,CAAP Clinically Integrated Network LLC,GA,STOPPED,Red,Green,Yellow,Green
155336199,Ucsf Medical Center,CA,STOPPED,Red,Red,Green,Green
155333920,True North Health Navigation,CO,STOPPED,Red,Green,Red,Green
155333919,Theraphysics Partners of Colorado Inc,CO,STOPPED,Green,Green,Green,Green
155332955,NYC Health and Hospitals Corporation,NY,STOPPED,Yellow,Green,Red,Green
155332964,Westchester Health Medical Pc,NY,STOPPED,Red,Green,Red,Green
155330909,The Cleveland Clinic Florida,FL,STOPPED,Green,Green,Yellow,Green
155328728,Total Health Family Medicine,LA,STOPPED,Green,Green,Red,Green
155327782,Bay Childrens Physicians,CA,STOPPED,Green,Green,Red,Green
155324474,Hudson Headwaters Health Network,NY,STOPPED,Red,Yellow,Red,Green
155324473,Centerplace Health,FL,STOPPED,Green,Green,Red,Green
155324469,Fredericktown Vision Ctr,MO,STOPPED,Green,Green,Red,Green
155324467,CRANIAL TECHNOLOGIES INC,NATIONAL,STOPPED,Yellow,Green,Red,Green
155324464,CRANIAL TECHNOLOGIES INC,NATIONAL,STOPPED,Yellow,Green,Green,Green
155326336,"EL PROYECTO DEL BARRIO,Inc",CA,STOPPED,Red,Green,Red,Green
155325504,Practice Associates Atlantic Medical Group,VA,STOPPED,Red,Green,Red,Green
155321398,Centerplace Health,FL,STOPPED,Yellow,Green,Red,Green
155321395,"ANGELES IPA, A MEDICAL CORPORATION",CA,STOPPED,Yellow,Green,Red,Green
155320188,New Universe Acupuncture,CA,STOPPED,Green,Red,Red,Green
155319486,Theoria Medical Pllc,KS,STOPPED,Green,Green,Red,Green
155316739,Blessing Hospital,IA,STOPPED,Green,Green,Red,Green
155314912,Complexcare Medical Group Midwest H Pllc,IN,STOPPED,Green,Green,Red,Green
155316080,Bay Childrens Physicians,CA,STOPPED,Yellow,Green,Red,Green
155316082,PROSPECT MEDICAL GROUP,CA,STOPPED,Yellow,Green,Red,Green
155316078,"Gundersen Lutheran Medical Center, Inc",WI,STOPPED,Green,Green,Red,Green
155314277,Ucsf Medical Center,CA,STOPPED,Green,Green,Red,Green
155312889,Diversus Health Inc,CO,STOPPED,Red,Green,Red,Green
155310304,Ucsf Medical Center,CA,STOPPED,Green,Green,Red,Green
155310305,Westbrook Health Services,WV,STOPPED,Green,Green,Red,Green
155308988,Psychiatry of Texaspllc,TN,STOPPED,Green,Green,Red,Green
155305345,Cornerstone Pediatric Associates,CO,STOPPED,Green,Green,Red,Green
155305343,North East Medical Services,CA,STOPPED,Green,Green,Green,Green
155305344,CHS Provider Updates,NY,STOPPED,Green,Green,Red,Green
155305346,MERCY CLINIC EAST COMMUNITIES,MO,STOPPED,Green,Green,Red,Green
155304979,Froedtert And Mcw Community Physicians,WI,STOPPED,Yellow,Red,Red,Green
155303172,Pediatric Academic Association,OH,STOPPED,Green,Green,Red,Green
155128602,"Seven Hills OB-GYN Associates, LLC",IN,STOPPED,Yellow,Green,Green,Green
155074396,MOUNTAIN STATES MEDICAL GROUP,VA,STOPPED,Red,Green,Red,Green
155073139,MOUNTAIN STATES MEDICAL GROUP,TN,STOPPED,Red,Green,Red,Green
155073138,MOUNTAIN STATES MEDICAL GROUP,TN,STOPPED,Red,Green,Red,Green
155050761,MERCY CLINIC EAST COMMUNITIES,MO,STOPPED,Red,Red,Red,Green
155010817,Mindful Therapy Group,WA,STOPPED,Green,Green,Red,Green
155010820,Shopko 4300,WI,STOPPED,Green,Green,Red,Green
155009341,Psychplus Medical Associates Pllc,TX,STOPPED,Green,Green,Red,Green
155009340,My Wellness Watch Pc,VA,STOPPED,Green,Green,Red,Green
155007900,Radiology Physicians,OH,STOPPED,Green,Green,Red,Green
155007078,"Quantum Care Medicine, PC",NY,STOPPED,Yellow,Green,Red,Green
155004154,Reno Orthopaedic Clinic,NV,STOPPED,Yellow,Green,Red,Green
155002218,The Johns Hopkins Hospital,DC,STOPPED,Red,Green,Red,Green
155002219,The Johns Hopkins Hospital,MD,STOPPED,Red,Green,Red,Green
154985960,Total Health Family Medicine,LA,STOPPED,Green,Green,Red,Green
154983520,Clarkson Eyecare,KY,STOPPED,Green,Green,Red,Green
154978208,Complexcare Medical Group Midwest H Pllc,IN,STOPPED,Yellow,Green,Red,Green
154973259,"Thompson Medical Associates, Llc",GA,STOPPED,Green,Green,Red,Green
154965141,Centerplace Health,FL,STOPPED,Yellow,Green,Red,Green
154960995,Solace Health Medical Group,CT,STOPPED,Green,Green,Red,Green
154959576,Vance Thompson Vision,CO,STOPPED,Yellow,Green,Red,Green
154955589,Jeffrey Lee Galitz MD A Professional Medical,CA,STOPPED,Red,Red,Red,Green
154952745,Korean American Medical Group,CA,STOPPED,Red,Green,Red,Green
154909922,Parkview Health System,IN,STOPPED,Green,Green,Yellow,Green
154902613,GLOBAL CARE MEDICAL GROUP IPA,CA,STOPPED,Yellow,Green,Red,Green
154899562,Paragon Infusion Care,MO,STOPPED,Green,Green,Red,Green
154892772,Community Family Care Medical Group Ipa,CA,STOPPED,Yellow,Yellow,Red,Green
154879399,Healthcare La IPA,CA,STOPPED,Green,Green,Red,Green
154853944,Premier Health Network CSRA,GA,STOPPED,Green,Green,Red,Green
154847308,"Mercy Health Services, Inc",TN,STOPPED,Red,Green,Red,Green
154844119,PROSPECT MEDICAL GROUP,CA,STOPPED,Yellow,Green,Red,Green
154840143,HERITAGE PROVIDER NETWORK INC,CA,STOPPED,Yellow,Green,Red,Green
154831600,CHS Provider Updates,NY,STOPPED,Green,Green,Red,Green
154822535,Mercy hospital springfield,MO,STOPPED,Green,Yellow,Red,Green
154818272,TIOPA,TX,STOPPED,Red,Green,Red,Green
154804387,Memorial Health Net Providers,TX,STOPPED,Green,Green,Red,Green
154804391,Trinity Health of New England Medical Group Inc.,CT,STOPPED,Green,Green,Red,Green
154802982,Trustees Of Columbia University In The City Of New York,NY,STOPPED,Green,Green,Red,Green
154796593,"ANGELES IPA, A MEDICAL CORPORATION",CA,STOPPED,Red,Green,Red,Green
154796596,Westchester Health Medical Pc,NY,STOPPED,Red,Red,Red,Green
154789666,Carroll Hospital Center,MD,STOPPED,Green,Green,Red,Green
154788289,Oak Street Health Physicians Group of Arizona PLLC,NATIONAL,STOPPED,Yellow,Green,Yellow,Green
154788288,MERCY CLINIC EAST COMMUNITIES,MO,STOPPED,Red,Red,Red,Green
154788287,William F. Ryan Community Hlth Ctr,NY,STOPPED,Green,Green,Red,Green
154788284,Center for Neurohealth Inc.,CA,STOPPED,Yellow,Green,Red,Green
154788283,Oak Street Health Physicians Group of Arizona PLLC,NATIONAL,STOPPED,Yellow,Green,Yellow,Green
154783792,Emergency Medicine Physician Associates PC,IN,STOPPED,Yellow,Green,Red,Green
154779600,Ucsf Medical Center,CA,STOPPED,Red,Red,Red,Green
154775440,Palms Medical Group,FL,STOPPED,Green,Green,Red,Green
154774275,Texas Quick Care LLC,TX,STOPPED,Green,Green,Red,Green
154771490,Emanate Health Ipa,CA,STOPPED,Green,Green,Red,Green
154771488,Regal Medical Group,CA,STOPPED,Red,Green,Red,Green
154771484,Major Hospital ,IN,STOPPED,Green,Green,Red,Green
154768826,Cedars-Sinai Medical Care Foundation,CA,STOPPED,Red,Green,Red,Green
154768830,Trenton Medical Ctr,FL,STOPPED,Green,Green,Red,Green
154768825,Trenton Medical Center,FL,STOPPED,Green,Green,Red,Green
154766359,BLESSING HOSPITAL,MO,STOPPED,Green,Green,Green,Red
154765729,Center for Neurohealth Inc.,CA,STOPPED,Yellow,Green,Red,Green
154765726,Eliana Home Healthcare Agency,NV,STOPPED,Yellow,Green,Green,Green
154765724,ProRehab Inc.,IN,STOPPED,Yellow,Green,Red,Green
154765722,"MCHS HOSPITALS, INC.",WI,STOPPED,Green,Green,Red,Green
154759891,BLESSING HOSPITAL,MO,STOPPED,Green,Green,Green,Green
154758574,North East Medical Services,CA,STOPPED,Red,Red,Red,Green
154758573,"Effingham Rehab Services, LLC",GA,STOPPED,Yellow,Green,Red,Green
154757488,Carroll Hospital Center,MD,STOPPED,Green,Green,Red,Green
154757486,Ny Queens Medicine And Surgery,NY,STOPPED,Yellow,Green,Red,Green
154757484,Parkview Health System,IN,STOPPED,Yellow,Green,Red,Green
154757495,The Learning Center of Northeast Arkansas,AR,STOPPED,Green,Green,Red,Green
154756350,North East Medical Services,CA,STOPPED,Green,Green,Red,Green
154755310,altamed health services,CA,STOPPED,Red,Green,Red,Green
154755306,Blessing Hospital,IA,STOPPED,Yellow,Green,Red,Green
154755302,Weill Medical College of Cornell,NY,STOPPED,Yellow,Green,Red,Green
154755304,HENDRICKS COUNTY HOSPITAL,IN,STOPPED,Green,Green,Red,Green
154755303,Froedtert And Mcw Community Physicians,WI,STOPPED,Green,Red,Red,Green
154754279,Phelps County Regional Medical Center,NATIONAL,STOPPED,Yellow,Green,Green,Green
154754278,DISPATCHHEALTH-TEXAS P A,TX,STOPPED,Green,Green,Red,Green
154754283,North East Medical Services,CA,STOPPED,Green,Green,Green,Green
154752364,Family Centers Inc,CT,STOPPED,Yellow,Green,Red,Green
154752369,Family Centers Inc,CT,STOPPED,Green,Green,Red,Green
154752363,"Quincy Physicians & Surgeons Clinic, PLLC",MO,STOPPED,Yellow,Green,Green,Green
154751447,Rural Health Enterprise,WA,STOPPED,Red,Green,Red,Green
154750577,"Colorado West Regional Mental Health, Inc.",CO,STOPPED,Green,Green,Red,Green
154749736,CHS December Roster Updated,NY,STOPPED,Green,Green,Red,Green
154745168,NORTH RANGE BEHAVIORAL HEALTH,CO,STOPPED,Green,Green,Red,Green
154742077,"ACS Primary Care Physicians, S.E, PC",GA,STOPPED,Green,Green,Green,Red
154742075,Mercy hospital springfield,MO,STOPPED,Green,Red,Green,Green
154734334,SEBASTICOOK VALLEY HEALTH,ME,STOPPED,Green,Green,Red,Green
154733798,"Central Valley Imaging Medical Associates, Inc.",CA,STOPPED,Green,Green,Red,Green
154733292,Barton Medical Foundation,CA,STOPPED,Green,Green,Red,Green
154729721,Everside Health,CO,STOPPED,Green,Green,Red,Green
154729540,"Shine Bright Counseling, PLLC",WV,STOPPED,Green,Green,Red,Green
154728658,Shopko 4300,WI,STOPPED,Green,Green,Green,Green
154728058,Emerald Medical Practice Pc,TX,STOPPED,Green,Green,Red,Green
154727425,Radiology Physicians,OH,STOPPED,Green,Green,Red,Green
154727424,Alonso Medical Center PLLC,NV,STOPPED,Green,Green,Red,Green
154725975,One Bergen Health Pc,NJ,STOPPED,Green,Green,Red,Green
154725613,Telemedico Physicians Of Missouri,MO,STOPPED,Green,Green,Red,Green
154724915,Dermatology Of Southern Kentucky Pllc,KY,STOPPED,Green,Green,Red,Green
154724914,Imaging Associates Of Indiana Pc,IN,STOPPED,Green,Green,Red,Green
154723023,ANESTHESIA & ANALGESIA PC,VA,STOPPED,Yellow,Green,Red,Green
154723024,Creating Connections Therapy,KS,STOPPED,Green,Green,Red,Green
154722685,Root Level Therapy,GA,STOPPED,Green,Green,Red,Green
154723235,The Learning Center of Northeast Arkansas,AR,STOPPED,Green,Green,Red,Green
154723236,"Sarah Collins, Lmft/Lpcc",CA,STOPPED,Red,Red,Red,Green
154692557,Medens Health,CA,STOPPED,Green,Green,Red,Green
154673782,"Cloud Health Medical Group, P.A.",NY,STOPPED,Yellow,Green,Red,Green
154673783,"Cloud Health Medical Group, P.A.",OH,STOPPED,Red,Green,Red,Green
154597435,Bloom Pediatric Therapy,GA,STOPPED,Green,Green,Green,Green
154319834,Cedars-Sinai Medical Care Foundation,CA,STOPPED,Green,Green,Red,Green
154269646,CATHOLIC HEALTH INITIATIVES,CO,STOPPED,Yellow,Red,Red,Green
154210921,Timothy D Groth MD PC,NY,STOPPED,Yellow,Green,Red,Green
154186621,NYU Student Health Center,NY,STOPPED,Green,Green,Red,Green
154178803,Emergency Medicine Physician Associates PC,IN,STOPPED,Green,Green,Red,Green
154144423,All About ABA IN LLC,IN,STOPPED,Yellow,Green,Red,Green
154144430,"Orange County Advantage Medical Group, Inc.",CA,STOPPED,Green,Green,Red,Green
154139123,Jefferson City Medical Group,MO,STOPPED,Green,Green,Red,Green
154135349,Healthlinc,IN,STOPPED,Yellow,Green,Red,Green
154132658,Medstar Medical Group Ii,MD,STOPPED,Red,Green,Red,Green
154132659,"PHYSIOTHERAPY ASSOCIATES,  INC.",IA,STOPPED,Green,Green,Red,Green
154132674,"PHYSIOTHERAPY ASSOCIATES,  INC.",IA,STOPPED,Green,Green,Red,Green
154132672,Theoria Medical,IN,STOPPED,Yellow,Green,Red,Green
154129997,Rad Assoc of Fredricksburg,VA,STOPPED,Red,Green,Red,Green
154129998,Carroll Hospital Center,MD,STOPPED,Yellow,Green,Red,Green
154130001,TJH Medical Services PC,NY,STOPPED,Red,Green,Red,Green
154130011,"Community Medical Associates, Inc.",KY,STOPPED,Red,Red,Red,Green
154129989,Prince William County,VA,STOPPED,Green,Green,Red,Green
154129992,Semmes-Murphey Clinic,TN,STOPPED,Green,Green,Red,Green
154128215,Eye Consultants of Northern Va,VA,STOPPED,Yellow,Green,Red,Green
154128216,Carroll Hospital Center,MD,STOPPED,Yellow,Green,Red,Green
154125636,"Texas Physical Therapy Specialists, Inc.",IN,STOPPED,Red,Green,Red,Green
154125637,Premier Physicians Network,CA,STOPPED,Red,Green,Red,Green
154122860,"Heart Centered Counseling, PC. ",CO,STOPPED,Green,Green,Red,Green
154122859,"Poudre Valley Medical Group, LLC",CO,STOPPED,Yellow,Green,Yellow,Green
154122858,ProRehab Inc.,IN,STOPPED,Yellow,Green,Red,Green
154120306,Ny Queens Medicine And Surgery,NY,STOPPED,Yellow,Green,Red,Green
154115253,"American Specialty Health Plans of California, Inc.",GA,STOPPED,Red,Green,Red,Green
154115251,Albany Medical College,NY,STOPPED,Red,Yellow,Red,Green
154112738,Froedtert And Mcw Community Physicians,WI,STOPPED,Yellow,Red,Red,Green
154110228,Mercy hospital springfield,MO,STOPPED,Green,Green,Red,Green
154110215,Mercy hospital springfield,MO,STOPPED,Yellow,Green,Red,Green
154110232,NYC Health and Hospitals Corporation,NY,STOPPED,Red,Green,Red,Green
154110233,Mercy hospital springfield,MO,STOPPED,Green,Red,Green,Green
154105289,Semmes-Murphey Clinic,TN,STOPPED,Green,Green,Red,Green
154091069,U M Otorhinolaryngology-Head & Neck Surgery,MD,STOPPED,Red,Green,Red,Green
154085994,U M Otorhinolaryngology-Head & Neck Surgery,MD,STOPPED,Yellow,Green,Red,Green
154085997,Medical Faculty Associates Inc,MD,STOPPED,Green,Green,Red,Green
154085998,Westchester Med Ctr Advanced,NY,STOPPED,Red,Green,Red,Green
154083570,Prince William County,VA,STOPPED,Green,Green,Red,Green
154080654,St Vincent Hospital and Health Care Center Inc,IN,STOPPED,Yellow,Green,Red,Green
154076078,Stony Brook,NY,STOPPED,Green,Green,Red,Green
154073652,Premier Physicians Network,CA,STOPPED,Red,Green,Red,Green
154073651,Cameron Memorial Community Hospital,IN,STOPPED,Green,Green,Yellow,Green
154070791,NORTH RANGE BEHAVIORAL HEALTH,CO,STOPPED,Red,Green,Red,Green
154062471,Total Care Aba Ga,GA,STOPPED,Yellow,Green,Red,Green
154062470,Medstar Medical Group Ii,MD,STOPPED,Green,Green,Red,Green
154060245,Ascension Medical Group St. Vincent,IN,STOPPED,Red,Green,Red,Green
154055476,HERITAGE PROVIDER NETWORK INC,CA,STOPPED,Green,Green,Red,Green
154047033,"Aspirus Network, Inc.",WI,STOPPED,Red,Red,Red,Green
154044510,CHS December Roster Updated,NY,STOPPED,Red,Green,Red,Green
154039766,The Rogosin Institute Physician Practice,NY,STOPPED,Yellow,Green,Red,Green
